trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
60,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,5,-107.72919084771254,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",1
61,False,"{'a': 0.5, 'e': 0.6949999999999997}",20,0,-49.54693370170136,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
62,False,"{'a': 0.5, 'e': 0.6899999999999997}",20,0,-108.05779823203929,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
63,False,"{'a': 0.5, 'e': 0.6849999999999997}",20,0,-56.208984846363386,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
64,False,"{'a': 0.5, 'e': 0.6799999999999997}",20,0,-9.871960422144195,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
65,False,"{'a': 0.5, 'e': 0.6749999999999997}",25,3,-37.80974935944425,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.6699999999999997}",20,0,-93.66389618480675,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
67,False,"{'a': 0.5, 'e': 0.6649999999999997}",35,1,-75.45323383259428,"{0: 26, 1: 1, 2: 5, 3: 1, 4: 1}",1
68,False,"{'a': 0.5, 'e': 0.6599999999999997}",20,6,-13.138087956393132,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.6549999999999997}",20,0,-26.04361884272443,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
70,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,6,-119.14073663433163,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 3}",1
71,False,"{'a': 0.5, 'e': 0.6449999999999997}",35,11,-30.511700280879438,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 1}",1
72,False,"{'a': 0.5, 'e': 0.6399999999999997}",20,0,-62.3352421419433,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
73,False,"{'a': 0.5, 'e': 0.6349999999999997}",30,0,-124.42745913857351,"{0: 20, 1: 2, 2: 6, 3: 0, 4: 2}",0
74,False,"{'a': 0.5, 'e': 0.6299999999999997}",25,8,19.865101915489134,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.6249999999999997}",20,0,-36.49538044917242,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.6199999999999997}",25,0,-89.66263708906102,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 2}",0
77,False,"{'a': 0.5, 'e': 0.6149999999999997}",25,0,-49.507355354211526,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
78,False,"{'a': 0.5, 'e': 0.6099999999999997}",20,0,-30.076601813231807,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
79,False,"{'a': 0.5, 'e': 0.6049999999999996}",20,1,-56.083473952784004,"{0: 16, 1: 0, 2: 0, 3: 2, 4: 1}",1
80,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-50.86413894782132,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
81,False,"{'a': 0.5, 'e': 0.5949999999999996}",20,0,-32.56586900460474,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
82,False,"{'a': 0.5, 'e': 0.5899999999999996}",30,0,-83.63634888757827,"{0: 23, 1: 2, 2: 3, 3: 0, 4: 2}",0
83,False,"{'a': 0.5, 'e': 0.5849999999999996}",25,0,-16.501270663528008,"{0: 22, 1: 1, 2: 0, 3: 2, 4: 0}",0
84,False,"{'a': 0.5, 'e': 0.5799999999999996}",20,0,-60.86073108683084,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
85,False,"{'a': 0.5, 'e': 0.5749999999999996}",25,0,-64.82578154620029,"{0: 18, 1: 0, 2: 5, 3: 2, 4: 0}",0
86,False,"{'a': 0.5, 'e': 0.5699999999999996}",25,0,-82.08064152815581,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
87,False,"{'a': 0.5, 'e': 0.5649999999999996}",20,0,-40.87040240343217,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
88,False,"{'a': 0.5, 'e': 0.5599999999999996}",25,0,-73.58470223476951,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
89,False,"{'a': 0.5, 'e': 0.5549999999999996}",25,0,-39.17494751196423,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
90,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-133.26961353779845,"{0: 17, 1: 1, 2: 3, 3: 2, 4: 2}",0
91,False,"{'a': 0.5, 'e': 0.5449999999999996}",20,6,-5.239823027108022,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.5399999999999996}",20,0,-8.074828918905002,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
93,False,"{'a': 0.5, 'e': 0.5349999999999996}",30,0,-44.427080115747124,"{0: 25, 1: 0, 2: 4, 3: 0, 4: 1}",0
94,False,"{'a': 0.5, 'e': 0.5299999999999996}",20,3,-55.85424046683161,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 1}",1
95,False,"{'a': 0.5, 'e': 0.5249999999999996}",20,0,-17.136981058453873,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
96,False,"{'a': 0.5, 'e': 0.5199999999999996}",20,12,-25.33773338448124,"{0: 5, 1: 1, 2: 1, 3: 1, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.5149999999999996}",20,0,-34.30623630523778,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
98,False,"{'a': 0.5, 'e': 0.5099999999999996}",25,0,-137.97032755407136,"{0: 17, 1: 0, 2: 2, 3: 5, 4: 1}",0
99,False,"{'a': 0.5, 'e': 0.5049999999999996}",25,7,-121.38346801094148,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 3}",1
100,False,"{'a': 0.5, 'e': 0.49999999999999956}",20,0,-19.144961720804424,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
101,False,"{'a': 0.5, 'e': 0.49499999999999955}",30,0,-34.272454393722526,"{0: 25, 1: 2, 2: 2, 3: 0, 4: 1}",0
102,False,"{'a': 0.5, 'e': 0.48999999999999955}",20,3,-98.93031381555872,"{0: 11, 1: 2, 2: 1, 3: 1, 4: 2}",1
103,False,"{'a': 0.5, 'e': 0.48499999999999954}",35,15,-31.514370363296177,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.47999999999999954}",30,10,0.44884483561914035,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.47499999999999953}",30,2,-44.996576158576865,"{0: 25, 1: 1, 2: 0, 3: 0, 4: 2}",1
106,False,"{'a': 0.5, 'e': 0.46999999999999953}",25,3,-35.766439146866055,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 1}",1
107,False,"{'a': 0.5, 'e': 0.4649999999999995}",25,11,-66.92850308152246,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 1}",1
108,False,"{'a': 0.5, 'e': 0.4599999999999995}",30,12,0.42072510319251855,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.4549999999999995}",30,0,-44.62483205803887,"{0: 23, 1: 1, 2: 5, 3: 1, 4: 0}",0
110,False,"{'a': 0.5, 'e': 0.4499999999999995}",25,7,-25.16221387727802,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.4449999999999995}",20,0,-59.17017160693749,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
112,False,"{'a': 0.5, 'e': 0.4399999999999995}",20,0,-35.33054408966878,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
113,False,"{'a': 0.5, 'e': 0.4349999999999995}",20,0,-5.561463601010082,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
114,False,"{'a': 0.5, 'e': 0.4299999999999995}",25,5,6.686821328007385,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.4249999999999995}",25,0,8.840336074330867,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
116,False,"{'a': 0.5, 'e': 0.4199999999999995}",30,20,-4.894039454824497,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.4149999999999995}",25,0,-29.706779156547857,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
118,False,"{'a': 0.5, 'e': 0.4099999999999995}",20,0,-59.577685456855725,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
119,False,"{'a': 0.5, 'e': 0.40499999999999947}",20,0,-15.549145876761663,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
120,False,"{'a': 0.5, 'e': 0.39999999999999947}",20,16,7.2059306773918115,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.39499999999999946}",20,16,7.337514111282342,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.38999999999999946}",25,1,-12.100217453125973,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 1}",1
123,False,"{'a': 0.5, 'e': 0.38499999999999945}",30,0,-41.06583457161022,"{0: 26, 1: 0, 2: 2, 3: 1, 4: 1}",0
124,False,"{'a': 0.5, 'e': 0.37999999999999945}",25,0,-66.28736097839128,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
125,False,"{'a': 0.5, 'e': 0.37499999999999944}",25,0,12.113063819438713,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
126,False,"{'a': 0.5, 'e': 0.36999999999999944}",20,0,-36.51281368872965,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
127,False,"{'a': 0.5, 'e': 0.36499999999999944}",20,9,-10.896888462253617,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.35999999999999943}",20,4,25.262408898028845,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.3549999999999994}",25,0,-63.624102615514495,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0
130,False,"{'a': 0.5, 'e': 0.3499999999999994}",20,9,-2.9429687817710812,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.3449999999999994}",25,2,-8.013136591268525,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 1}",1
